breed,other_names,size,life_span,height,height_sec,price,adaptability,apartment_friendly,barking_tendencies,child_friendly,cat_friendly,dog_friendly,exercise_needs,grooming,health_issues,intelligence,playfulness,shedding_level,stranger_friendly,trainability
"Labrador Retriever","Labrador, Lab","Medium","10-12 years","Male: 22-24 inches (56-61cm) ","Female: 21-23 inches (53-58 cm)","Average $1000 - $2000 USD","5 stars","5 stars","3 stars","5 stars","4 stars","5 stars","5 stars","1 stars","3 stars","5 stars","5 stars","3 stars","5 stars","5 stars"
"German Shepherd","Alsatian (UK), Alsatian wolf dog (UK), Berger Allemand, Deutscher Sch?ferhund, Sch?ferhund","Medium","10-13 years","Male: 24-26 inches (60-65 cm)","Female: 22-24 inches (55-60 cm)","Average $800 - $2000 USD","5 stars","3 stars","2 stars","5 stars","3 stars","2 stars","4 stars","3 stars","4 stars","5 stars","3 stars","5 stars","1 stars","5 stars"
"Golden Retriever","Yellow Retriever, Golden Flat Coat","Medium","10-12 years","Male: 22-24 inches (56-61cm) ","Female: 20-22 inches (51-56 cm)","Average $1000 - $2000 USD","5 stars","3 stars","2 stars","5 stars","4 stars","5 stars","5 stars","3 stars","4 stars","5 stars","5 stars","3 stars","5 stars","5 stars"
"Bulldog","English Bulldog, British Bulldog","Medium","8-10 years","12-16 inches (31-40 cm)","There is no prescribed height, but shorter Bulldogs are more prized when being shown","Average $1200 - $2000 USD","5 stars","5 stars","1 stars","5 stars","5 stars","5 stars","1 stars","3 stars","5 stars","3 stars","1 stars","3 stars","5 stars","3 stars"
"Beagle","English Beagle","Small","12-15 years","Male: 14-16 inches (36-41 cm)","Female: 13-15 inches (33-38 cm)","Average $500 - $800 USD","5 stars","3 stars","5 stars","5 stars","3 stars","5 stars","4 stars","1 stars","3 stars","3 stars","5 stars","3 stars","4 stars","2 stars"
"French Bulldog","Frenchie, Bouledogue Fran?ais","Small","10-12 years","12 inches (30 cm)","","Average $2000 - $4000 USD","5 stars","5 stars","1 stars","2 stars","2 stars","2 stars","2 stars","2 stars","3 stars","3 stars","2 stars","2 stars","4 stars","3 stars"
"Poodle (Standard)","Caniche, Barbone, Chien Canne, Grosse Pudel, French Poodle","Medium","12-15 years","15 inches (38 cm) or more","","Average $1000 - $1500 USD","5 stars","5 stars","4 stars","5 stars","4 stars","4 stars","4 stars","5 stars","3 stars","5 stars","4 stars","1 stars","4 stars","5 stars"
"Rottweiler","Rottie, Rott","Medium","8-11 years","Male: 24-27 inches (61-69 cm) ","Female: 22-25 inches (56-63 cm)","Average $1200 - $2000 USD","3 stars","3 stars","1 stars","2 stars","3 stars","1 stars","3 stars","1 stars","3 stars","5 stars","3 stars","3 stars","1 stars","4 stars"
"Yorkshire Terrier","Yorkie","Small","12-16 years","20-23 cm (8-9 inches)","","Average $600 - $1000 USD","5 stars","5 stars","5 stars","1 stars","4 stars","2 stars","1 stars","5 stars","4 stars","5 stars","3 stars","1 stars","3 stars","3 stars"
"Boxer","German Boxer, Deutscher Boxer","Medium","10-12 years","Male: 22-25 inches (56-63 cm)","Female: 21-24 inches (53-61 cm)","Average $600 - $1200 USD","4 stars","4 stars","2 stars","4 stars","3 stars","2 stars","4 stars","1 stars","3 stars","4 stars","4 stars","3 stars","3 stars","3 stars"
