"hasName","animalType","sex","isIntact","monthsOld","breed1","breed2","isMix","color1","color2","outcome","size","life_span_low","life_span_high","price_low","price_high","adaptability","child_friendly","cat_dog_friendly","grooming","health_issues","intelligence","shedding_level"
"true","Dog","M","false","12","Shetland Sheepdog","","true","Brown","White","Return_to_owner","Small","12","14","800","1000","5","4","5","5","3","5","3"
"true","Cat","F","false","12","Domestic Shorthair","","true","Cream Tabby","","Euthanasia","Medium","15","17","600","800","5","4","5","3","1","3","5"
"true","Dog","M","false","24","Pit Bull","","true","Blue","White","Adoption","Medium","10","14","500","700","3","4","1","1","2","3","3"
"false","Cat","M","true","0","Domestic Shorthair","","true","Blue Cream","","Transfer","Medium","15","17","600","800","5","4","5","3","1","3","5"
"false","Dog","M","false","24","Lhasa Apso","Miniature Poodle","false","Tan","","Transfer","Small","12","15","500","700","5","5","5","5","2","3","4"
"true","Dog","F","true","1","Cairn Terrier","Chihuahua Shorthair","false","Black","Tan","Transfer","Small","12","15","700","1000","3","4","3","3","2","4","3"
"true","Cat","M","true","0","Domestic Shorthair","","true","Blue Tabby","","Transfer","Medium","15","17","600","800","5","4","5","3","1","3","5"
"false","Cat","","","0","Domestic Shorthair","","true","Brown Tabby","","Transfer","Medium","15","17","600","800","5","4","5","3","1","3","5"
"true","Dog","F","false","5","American Pit Bull Terrier","","true","Red","White","Adoption","Medium","10","14","500","700","3","4","1","1","2","3","3"
"false","Dog","F","false","12","Cairn Terrier","","false","White","","Adoption","Small","12","15","700","1000","3","4","3","3","2","4","3"
"false","Cat","","","24","Domestic Shorthair","","true","Black","","Transfer","Medium","15","17","600","800","5","4","5","3","1","3","5"
"false","Dog","F","false","24","Miniature Schnauzer","","true","Silver","","Adoption","Small","12","14","600","1000","5","4","3","4","3","5","1"
"true","Dog","M","false","48","Pit Bull","","true","Brown","","Adoption","Medium","10","14","500","700","3","4","1","1","2","3","3"
"true","Dog","M","false","24","Yorkshire Terrier","","true","Black","Red","Return_to_owner","Small","12","16","600","1000","5","1","4","5","4","5","1"
"true","Dog","M","false","12","Great Pyrenees","","true","White","Cream","Return_to_owner","Giant","10","12","700","900","4","4","4","3","5","3","4"
"true","Cat","M","false","3","Domestic Shorthair","","true","Orange Tabby","White","Adoption","Medium","15","17","600","800","5","4","5","3","1","3","5"
"false","Cat","M","true","0","Domestic Shorthair","","true","Brown Tabby","","Transfer","Medium","15","17","600","800","5","4","5","3","1","3","5"
"false","Dog","F","true","0","Pit Bull","","true","Brown","White","Transfer","Medium","10","14","500","700","3","4","1","1","2","3","3"
"true","Cat","F","true","24","Angora","","true","White","","Transfer","Medium","15","18","600","800","5","4","5","2","2","5","3"
"true","Dog","M","false","12","Flat Coat Retriever","","true","Black","","Return_to_owner","Medium","10","13","1000","1200","5","4","3","2","5","5","3"
"true","Dog","M","true","2","Queensland Heeler","","true","Black","White","Transfer","Medium","12","15","500","700","3","5","3","1","3","5","3"
"true","Cat","F","false","12","Domestic Shorthair","","true","White","","Transfer","Medium","15","17","600","800","5","4","5","3","1","3","5"
"true","Dog","F","false","24","Plott Hound","Boxer","false","Brown Brindle","White","Adoption","Medium","12","14","300","500","3","4","2","1","1","2","1"
"true","Dog","M","false","10","German Shepherd","","true","Brown","White","Adoption","Medium","10","13","800","2000","5","5","3","3","4","5","5"
"true","Dog","M","false","2","German Shepherd","","true","Black","Brown","Return_to_owner","Medium","10","13","800","2000","5","5","3","3","4","5","5"
"true","Cat","F","true","1","Domestic Shorthair","","true","Orange Tabby","","Transfer","Medium","15","17","600","800","5","4","5","3","1","3","5"
"true","Dog","F","false","6","American Staffordshire Terrier","","true","Chocolate","White","Adoption","Medium","12","14","800","1000","3","4","1","1","3","4","1"
"true","Dog","F","false","60","Chihuahua Shorthair","","true","White","Tan","Adoption","Small","14","18","600","800","5","1","5","1","4","3","1"
"true","Cat","F","false","2","Domestic Shorthair","","true","Cream Tabby","White","Adoption","Medium","15","17","600","800","5","4","5","3","1","3","5"
"true","Cat","M","false","84","Russian Blue","","true","Blue","","Return_to_owner","Medium","10","16","400","600","3","3","3","3","1","3","3"
"false","Cat","F","false","36","Domestic Shorthair","","true","Calico","","Euthanasia","Medium","15","17","600","800","5","4","5","3","1","3","5"
"true","Dog","M","true","4","Labrador Retriever","","true","Black","White","Transfer","Medium","10","12","1000","2000","5","5","4","1","3","5","3"
"false","Cat","F","false","2","Domestic Shorthair","","true","Torbie","","Adoption","Medium","15","17","600","800","5","4","5","3","1","3","5"
"true","Dog","M","false","60","Collie Smooth","German Shepherd","false","Brown","Black","Return_to_owner","Large","14","16","400","600","4","5","5","5","4","5","5"
"true","Dog","M","false","36","Chihuahua Shorthair","","true","Brown","","Transfer","Small","14","18","600","800","5","1","5","1","4","3","1"
"false","Dog","M","true","36","Labrador Retriever","","true","Yellow","","Euthanasia","Medium","10","12","1000","2000","5","5","4","1","3","5","3"
"true","Dog","M","false","36","Pit Bull","","true","Brown","White","Return_to_owner","Medium","10","14","500","700","3","4","1","1","2","3","3"
"false","Cat","M","true","2","Domestic Shorthair","","true","Blue","White","Transfer","Medium","15","17","600","800","5","4","5","3","1","3","5"
"true","Cat","M","false","4","Domestic Shorthair","","true","Black","White","Transfer","Medium","15","17","600","800","5","4","5","3","1","3","5"
"false","Cat","M","true","0","Domestic Shorthair","","true","Brown Tabby","","Transfer","Medium","15","17","600","800","5","4","5","3","1","3","5"
"true","Cat","F","false","84","Domestic Shorthair","","true","Blue Tabby","","Adoption","Medium","15","17","600","800","5","4","5","3","1","3","5"
"false","Cat","M","true","2","Domestic Shorthair","","true","Orange Tabby","","Transfer","Medium","15","17","600","800","5","4","5","3","1","3","5"
"true","Cat","F","true","2","Domestic Shorthair","","true","Brown Tabby","","Transfer","Medium","15","17","600","800","5","4","5","3","1","3","5"
"false","Cat","M","true","48","Domestic Longhair","","true","Black","White","Transfer","","","","","","","","","","","",""
"true","Cat","M","false","24","Domestic Shorthair","","true","Black","White","Adoption","Medium","15","17","600","800","5","4","5","3","1","3","5"
"true","Dog","M","false","144","Beagle","","false","Tricolor","","Return_to_owner","Small","12","15","500","800","5","5","3","1","3","3","3"
"true","Cat","F","false","108","Domestic Shorthair","","true","White","Black","Return_to_owner","Medium","15","17","600","800","5","4","5","3","1","3","5"
"false","Cat","F","true","0","Domestic Shorthair","","true","Black","","Transfer","Medium","15","17","600","800","5","4","5","3","1","3","5"
"true","Dog","F","false","5","German Shepherd","","true","Black","Brown","Adoption","Medium","10","13","800","2000","5","5","3","3","4","5","5"
"false","Dog","M","true","72","Pit Bull","Labrador Retriever","false","Chocolate","White","Euthanasia","Medium","10","14","500","700","3","4","1","1","2","3","3"
"false","Cat","F","true","12","Domestic Shorthair","","true","Tortie","","Transfer","Medium","15","17","600","800","5","4","5","3","1","3","5"
"true","Cat","F","false","3","Domestic Shorthair","","true","Brown Tabby","","Adoption","Medium","15","17","600","800","5","4","5","3","1","3","5"
"false","Cat","F","true","0","Domestic Shorthair","","true","Blue Tabby","White","Transfer","Medium","15","17","600","800","5","4","5","3","1","3","5"
"true","Dog","M","false","24","Blue Lacy","","true","Gray","White","Adoption","Medium","14","16","600","800","3","3","2","1","2","3","1"
"true","Cat","F","false","2","Domestic Shorthair","","true","Orange Tabby","White","Adoption","Medium","15","17","600","800","5","4","5","3","1","3","5"
"false","Cat","M","true","0","Domestic Shorthair","","true","Black","","Transfer","Medium","15","17","600","800","5","4","5","3","1","3","5"
"true","Cat","F","false","2","Domestic Shorthair","","true","Calico","","Adoption","Medium","15","17","600","800","5","4","5","3","1","3","5"
"false","Dog","M","true","12","Chihuahua Shorthair","","true","Tan","","Transfer","Small","14","18","600","800","5","1","5","1","4","3","1"
"true","Dog","F","false","48","Black Mouth Cur","","true","Tan","Black","Return_to_owner","Medium","12","18","300","500","3","3","2","2","2","3","2"
"true","Dog","M","false","24","Dachshund","Beagle","false","Brown","White","Adoption","Small","12","15","500","700","5","2","3","2","3","4","1"
"true","Cat","M","true","12","Domestic Shorthair","","true","Orange Tabby","White","Transfer","Medium","15","17","600","800","5","4","5","3","1","3","5"
"true","Dog","F","false","132","Yorkshire Terrier","","true","Brown","Black","Euthanasia","Small","12","16","600","1000","5","1","4","5","4","5","1"
"true","Cat","F","true","1","Domestic Shorthair","","true","Black","","Transfer","Medium","15","17","600","800","5","4","5","3","1","3","5"
"true","Dog","F","false","24","Dachshund","","true","Tan","White","Adoption","Small","12","15","500","700","5","2","3","2","3","4","1"
"false","Cat","","","0","Domestic Shorthair","","true","Black","","Transfer","Medium","15","17","600","800","5","4","5","3","1","3","5"
"true","Dog","F","false","72","Maltese","","true","White","","Return_to_owner","Small","15","18","600","800","5","4","5","3","3","4","1"
"true","Dog","M","false","6","Pointer","","true","Black","White","Transfer","Medium","12","15","400","500","5","5","1","1","1","2","1"
"true","Dog","F","true","2","English Foxhound","","false","Buff","","Transfer","Large","10","13","800","1200","4","5","2","1","1","4","3"
"false","Cat","","","2","Domestic Shorthair","","true","Brown Tabby","White","Transfer","Medium","15","17","600","800","5","4","5","3","1","3","5"
"true","Dog","F","false","12","Chihuahua Shorthair","","true","Red","","Adoption","Small","14","18","600","800","5","1","5","1","4","3","1"
