hasName,animalType,sex,isIntact,monthsOld,breed1,breed2,color1,color2,outcome
true,Dog,M,false,12,Shetland Sheepdog Mix,,Brown,White,Return_to_owner
true,Cat,F,false,12,Domestic Shorthair Mix,,Cream Tabby,,Euthanasia
true,Dog,M,false,24,Pit Bull Mix,,Blue,White,Adoption
false,Cat,M,true,0,Domestic Shorthair Mix,,Blue Cream,,Transfer
false,Dog,M,false,24,Lhasa Apso,Miniature Poodle,Tan,,Transfer
true,Dog,F,true,1,Cairn Terrier,Chihuahua Shorthair,Black,Tan,Transfer
true,Cat,M,true,0,Domestic Shorthair Mix,,Blue Tabby,,Transfer
false,Cat,,,0,Domestic Shorthair Mix,,Brown Tabby,,Transfer
true,Dog,F,false,5,American Pit Bull Terrier Mix,,Red,White,Adoption
false,Dog,F,false,12,Cairn Terrier,,White,,Adoption
false,Cat,,,24,Domestic Shorthair Mix,,Black,,Transfer
false,Dog,F,false,24,Miniature Schnauzer Mix,,Silver,,Adoption
true,Dog,M,false,48,Pit Bull Mix,,Brown,,Adoption
true,Dog,M,false,24,Yorkshire Terrier Mix,,Black,Red,Return_to_owner
true,Dog,M,false,12,Great Pyrenees Mix,,White,Cream,Return_to_owner
true,Cat,M,false,3,Domestic Shorthair Mix,,Orange Tabby,White,Adoption
false,Cat,M,true,0,Domestic Shorthair Mix,,Brown Tabby,,Transfer
false,Dog,F,true,0,Pit Bull Mix,,Brown,White,Transfer
true,Cat,F,true,24,Angora Mix,,White,,Transfer
true,Dog,M,false,12,Flat Coat Retriever Mix,,Black,,Return_to_owner
true,Dog,M,true,2,Queensland Heeler Mix,,Black,White,Transfer
true,Cat,F,false,12,Domestic Shorthair Mix,,White,,Transfer
true,Dog,F,false,24,Plott Hound,Boxer,Brown Brindle,White,Adoption
true,Dog,M,false,10,German Shepherd Mix,,Brown,White,Adoption
true,Dog,M,false,2,German Shepherd Mix,,Black,Brown,Return_to_owner
true,Cat,F,true,1,Domestic Shorthair Mix,,Orange Tabby,,Transfer
true,Dog,F,false,6,American Staffordshire Terrier Mix,,Chocolate,White,Adoption
true,Dog,F,false,60,Chihuahua Shorthair Mix,,White,Tan,Adoption
true,Cat,F,false,2,Domestic Shorthair Mix,,Cream Tabby,White,Adoption
true,Cat,M,false,84,Russian Blue Mix,,Blue,,Return_to_owner
false,Cat,F,false,36,Domestic Shorthair Mix,,Calico,,Euthanasia
true,Dog,M,true,4,Labrador Retriever Mix,,Black,White,Transfer
false,Cat,F,false,2,Domestic Shorthair Mix,,Torbie,,Adoption
true,Dog,M,false,60,Collie Smooth,German Shepherd,Brown,Black,Return_to_owner
true,Dog,M,false,36,Chihuahua Shorthair Mix,,Brown,,Transfer
false,Dog,M,true,36,Labrador Retriever Mix,,Yellow,,Euthanasia
true,Dog,M,false,36,Pit Bull Mix,,Brown,White,Return_to_owner
false,Cat,M,true,2,Domestic Shorthair Mix,,Blue,White,Transfer
true,Cat,M,false,4,Domestic Shorthair Mix,,Black,White,Transfer
false,Cat,M,true,0,Domestic Shorthair Mix,,Brown Tabby,,Transfer
true,Cat,F,false,84,Domestic Shorthair Mix,,Blue Tabby,,Adoption
false,Cat,M,true,2,Domestic Shorthair Mix,,Orange Tabby,,Transfer
true,Cat,F,true,2,Domestic Shorthair Mix,,Brown Tabby,,Transfer
false,Cat,M,true,48,Domestic Longhair Mix,,Black,White,Transfer
true,Cat,M,false,24,Domestic Shorthair Mix,,Black,White,Adoption
true,Dog,M,false,144,Beagle,,Tricolor,,Return_to_owner
true,Cat,F,false,108,Domestic Shorthair Mix,,White,Black,Return_to_owner
false,Cat,F,true,0,Domestic Shorthair Mix,,Black,,Transfer
true,Dog,F,false,5,German Shepherd Mix,,Black,Brown,Adoption
false,Dog,M,true,72,Pit Bull,Labrador Retriever,Chocolate,White,Euthanasia
false,Cat,F,true,12,Domestic Shorthair Mix,,Tortie,,Transfer
true,Cat,F,false,3,Domestic Shorthair Mix,,Brown Tabby,,Adoption
false,Cat,F,true,0,Domestic Shorthair Mix,,Blue Tabby,White,Transfer
true,Dog,M,false,24,Blue Lacy Mix,,Gray,White,Adoption
true,Cat,F,false,2,Domestic Shorthair Mix,,Orange Tabby,White,Adoption
false,Cat,M,true,0,Domestic Shorthair Mix,,Black,,Transfer
true,Cat,F,false,2,Domestic Shorthair Mix,,Calico,,Adoption
false,Dog,M,true,12,Chihuahua Shorthair Mix,,Tan,,Transfer
true,Dog,F,false,48,Black Mouth Cur Mix,,Tan,Black,Return_to_owner
true,Dog,M,false,24,Dachshund,Beagle,Brown,White,Adoption
true,Cat,M,true,12,Domestic Shorthair Mix,,Orange Tabby,White,Transfer
true,Dog,F,false,132,Yorkshire Terrier Mix,,Brown,Black,Euthanasia
true,Cat,F,true,1,Domestic Shorthair Mix,,Black,,Transfer
true,Dog,F,false,24,Dachshund Mix,,Tan,White,Adoption
false,Cat,,,0,Domestic Shorthair Mix,,Black,,Transfer
true,Dog,F,false,72,Maltese Mix,,White,,Return_to_owner
true,Dog,M,false,6,Pointer Mix,,Black,White,Transfer
true,Dog,F,true,2,English Foxhound,,Buff,,Transfer
false,Cat,,,2,Domestic Shorthair Mix,,Brown Tabby,White,Transfer
true,Dog,F,false,12,Chihuahua Shorthair Mix,,Red,,Adoption
true,Dog,M,false,2,Vizsla Mix,,Brown,,Adoption
true,Dog,M,false,24,Pit Bull Mix,,Brown Brindle,White,Transfer
false,Dog,F,false,36,German Shepherd,Great Pyrenees,White,,Adoption
true,Cat,F,true,12,Domestic Shorthair Mix,,Black,,Return_to_owner
true,Dog,F,false,48,Yorkshire Terrier Mix,,Blue,Tan,Return_to_owner
true,Dog,F,false,24,Cardigan Welsh Corgi,Chihuahua Shorthair,Tan,,Transfer
true,Cat,F,false,3,Domestic Longhair,,Brown Tabby,,Adoption
false,Cat,F,true,12,Domestic Shorthair Mix,,Calico,,Euthanasia
true,Dog,M,false,2,Chow Chow,Pit Bull,Black,,Adoption
false,Cat,F,false,24,Domestic Shorthair Mix,,Black,White,Transfer
true,Dog,M,false,12,Chihuahua Shorthair,,White,,Adoption
false,Cat,,,0,Domestic Shorthair Mix,,Blue Tabby,,Euthanasia
true,Cat,,,0,Siamese Mix,,Seal Point,,Transfer
false,Cat,M,true,24,Domestic Shorthair Mix,,Blue Tabby,,Transfer
true,Dog,M,false,144,Pit Bull Mix,,Brown Brindle,,Euthanasia
false,Dog,M,false,12,Dachshund,Beagle,Brown,White,Adoption
true,Cat,M,false,2,Domestic Shorthair Mix,,Black,,Adoption
false,Cat,M,true,0,Domestic Shorthair Mix,,Black,,Transfer
false,Dog,F,true,3,Labrador Retriever Mix,,Black,White,Transfer
false,Cat,F,false,3,Domestic Medium Hair Mix,,Calico,,Adoption
true,Dog,M,false,5,Plott Hound Mix,,Brown Brindle,White,Adoption
true,Dog,F,false,36,Boxer,Great Dane,Black,,Adoption
true,Dog,F,false,84,Lhasa Apso,,White,Black,Transfer
true,Dog,F,false,24,German Shepherd Mix,,Black,Tan,Euthanasia
true,Cat,F,false,4,Domestic Shorthair Mix,,Black,,Adoption
true,Dog,F,false,108,Beagle,Treeing Walker Coonhound,White,Brown,Adoption
true,Dog,M,false,7,Border Collie Mix,,Black,White,Transfer
false,Cat,M,false,2,Domestic Shorthair Mix,,Black,White,Adoption
