hasName,animalType,sex,isIntact,monthsOld,breed1,breed2,isMix,color1,color2,outcome
true,Dog,M,false,12,Shetland Sheepdog,,true,Brown,White,Return_to_owner
true,Cat,F,false,12,Domestic Shorthair,,true,Cream Tabby,,Euthanasia
true,Dog,M,false,24,Pit Bull,,true,Blue,White,Adoption
false,Cat,M,true,0,Domestic Shorthair,,true,Blue Cream,,Transfer
false,Dog,M,false,24,Lhasa Apso,Miniature Poodle,false,Tan,,Transfer
true,Dog,F,true,1,Cairn Terrier,Chihuahua Shorthair,false,Black,Tan,Transfer
true,Cat,M,true,0,Domestic Shorthair,,true,Blue Tabby,,Transfer
false,Cat,,,0,Domestic Shorthair,,true,Brown Tabby,,Transfer
true,Dog,F,false,5,American Pit Bull Terrier,,true,Red,White,Adoption
false,Dog,F,false,12,Cairn Terrier,,false,White,,Adoption
false,Cat,,,24,Domestic Shorthair,,true,Black,,Transfer
false,Dog,F,false,24,Miniature Schnauzer,,true,Silver,,Adoption
true,Dog,M,false,48,Pit Bull,,true,Brown,,Adoption
true,Dog,M,false,24,Yorkshire Terrier,,true,Black,Red,Return_to_owner
true,Dog,M,false,12,Great Pyrenees,,true,White,Cream,Return_to_owner
true,Cat,M,false,3,Domestic Shorthair,,true,Orange Tabby,White,Adoption
false,Cat,M,true,0,Domestic Shorthair,,true,Brown Tabby,,Transfer
false,Dog,F,true,0,Pit Bull,,true,Brown,White,Transfer
true,Cat,F,true,24,Angora,,true,White,,Transfer
true,Dog,M,false,12,Flat Coat Retriever,,true,Black,,Return_to_owner
true,Dog,M,true,2,Queensland Heeler,,true,Black,White,Transfer
true,Cat,F,false,12,Domestic Shorthair,,true,White,,Transfer
true,Dog,F,false,24,Plott Hound,Boxer,false,Brown Brindle,White,Adoption
true,Dog,M,false,10,German Shepherd,,true,Brown,White,Adoption
true,Dog,M,false,2,German Shepherd,,true,Black,Brown,Return_to_owner
true,Cat,F,true,1,Domestic Shorthair,,true,Orange Tabby,,Transfer
true,Dog,F,false,6,American Staffordshire Terrier,,true,Chocolate,White,Adoption
true,Dog,F,false,60,Chihuahua Shorthair,,true,White,Tan,Adoption
true,Cat,F,false,2,Domestic Shorthair,,true,Cream Tabby,White,Adoption
true,Cat,M,false,84,Russian Blue,,true,Blue,,Return_to_owner
false,Cat,F,false,36,Domestic Shorthair,,true,Calico,,Euthanasia
true,Dog,M,true,4,Labrador Retriever,,true,Black,White,Transfer
false,Cat,F,false,2,Domestic Shorthair,,true,Torbie,,Adoption
true,Dog,M,false,60,Collie Smooth,German Shepherd,false,Brown,Black,Return_to_owner
true,Dog,M,false,36,Chihuahua Shorthair,,true,Brown,,Transfer
false,Dog,M,true,36,Labrador Retriever,,true,Yellow,,Euthanasia
true,Dog,M,false,36,Pit Bull,,true,Brown,White,Return_to_owner
false,Cat,M,true,2,Domestic Shorthair,,true,Blue,White,Transfer
true,Cat,M,false,4,Domestic Shorthair,,true,Black,White,Transfer
false,Cat,M,true,0,Domestic Shorthair,,true,Brown Tabby,,Transfer
true,Cat,F,false,84,Domestic Shorthair,,true,Blue Tabby,,Adoption
false,Cat,M,true,2,Domestic Shorthair,,true,Orange Tabby,,Transfer
true,Cat,F,true,2,Domestic Shorthair,,true,Brown Tabby,,Transfer
false,Cat,M,true,48,Domestic Longhair,,true,Black,White,Transfer
true,Cat,M,false,24,Domestic Shorthair,,true,Black,White,Adoption
true,Dog,M,false,144,Beagle,,false,Tricolor,,Return_to_owner
true,Cat,F,false,108,Domestic Shorthair,,true,White,Black,Return_to_owner
false,Cat,F,true,0,Domestic Shorthair,,true,Black,,Transfer
true,Dog,F,false,5,German Shepherd,,true,Black,Brown,Adoption
false,Dog,M,true,72,Pit Bull,Labrador Retriever,false,Chocolate,White,Euthanasia
false,Cat,F,true,12,Domestic Shorthair,,true,Tortie,,Transfer
true,Cat,F,false,3,Domestic Shorthair,,true,Brown Tabby,,Adoption
false,Cat,F,true,0,Domestic Shorthair,,true,Blue Tabby,White,Transfer
true,Dog,M,false,24,Blue Lacy,,true,Gray,White,Adoption
true,Cat,F,false,2,Domestic Shorthair,,true,Orange Tabby,White,Adoption
false,Cat,M,true,0,Domestic Shorthair,,true,Black,,Transfer
true,Cat,F,false,2,Domestic Shorthair,,true,Calico,,Adoption
false,Dog,M,true,12,Chihuahua Shorthair,,true,Tan,,Transfer
